Year,Events
1880,6
1881,1
1882,4
1883,8
1884,4
1885,12
1886,7
1887,4
1888,3
1889,12
1890,19
1891,22
1892,19
1893,13
1894,17
1895,7
1896,3
1897,6
1898,9
1890,11
1900,6
1901,1
1902,10
1903,12
1904,4
1905,7
1906,13
1907,4
1908,3
1909,15
1910,16
1911,19
1912,15
1913,14
1914,17
1915,7
1916,3
1917,7
1918,5
1919,4
1920,10
1921,2
1922,8
1923,14
1924,8
1925,12
1926,14
1927,10
1928,17
1929,5
1930,21
1931,14
1932,13
1933,12
1934,10
1935,17
1936,22
1937,12
1938,8
1939,13
1940,21
1941,22
1942,21
1943,25
1944,23
1945,16
1946,17
1947,13
1948,25
1949,21
1950,26
1951,31
1952,29
1953,36
1954,33
1955,32
1956,36
1957,28
1958,24
1959,33
1960,40
1961,30
1962,29
1963,41
1964,61
1965,62
1966,82
1967,77
1968,80
1969,66
1970,83
1971,67
1972,69
1973,76
1974,75
1975,70
1976,88
1977,120
1978,115
1979,116
1980,124
1981,139
1982,164
1983,223
1984,164
1985,173
1986,147
1987,183
1988,199
1989,172
1990,278
1991,236
1992,220
1993,268
1994,252
1995,254
1996,231
1997,263
1998,300
1999,343
2000,424
2001,395
2002,438
2003,373
2004,368
2005,435
2006,430
2007,415
2008,367
2009,368
2010,415
2011,351
2012,364
2013,340
2014,329
2015,404
2016,349
2017,364
2018,323
2019,413
2020,407
2021,441
2022,440
2023,410