Year,SeaLevel
1880,-183.31406
1881,-186.0474
1882,-202.5474
1883,-179.81406
1884,-174.51407
1885,-166.58073
1886,-178.98073
1887,-171.88072
1888,-170.41406
1889,-177.1474
1890,-175.28073
1891,-168.21407
1892,-176.08073
1893,-164.48073
1894,-176.88072
1895,-158.74739
1896,-169.8474
1897,-168.9474
1898,-157.11406
1899,-140.08073
1900,-150.31406
1901,-155.4474
1902,-145.58073
1903,-144.81406
1904,-144.78073
1905,-160.5474
1906,-154.9474
1907,-151.1474
1908,-154.48073
1909,-152.31406
1910,-150.8474
1911,-149.1474
1912,-142.9474
1913,-142.0474
1914,-137.5474
1915,-108.7474
1916,-129.58073
1917,-127.78073
1918,-134.41406
1919,-141.0474
1920,-138.31406
1921,-131.91406
1922,-131.9474
1923,-128.58073
1924,-138.71407
1925,-135.61406
1926,-133.21407
1927,-133.5474
1928,-138.51407
1929,-141.3474
1930,-134.6474
1931,-130.8474
1932,-126.714066
1933,-117.54739
1934,-123.8474
1935,-119.3474
1936,-120.51406
1937,-119.714066
1938,-110.91406
1939,-114.58073
1940,-111.91406
1941,-106.01406
1942,-107.2474
1943,-97.88073
1944,-105.2474
1945,-107.64739
1946,-103.54739
1947,-104.28073
1948,-87.3474
1949,-87.314064
1950,-92.28073
1951,-82.01406
1952,-85.08073
1953,-76.8474
1954,-82.18073
1955,-72.38073
1956,-82.38073
1957,-83.01406
1958,-72.2474
1959,-68.714066
1960,-70.38073
1961,-60.247395
1962,-66.68073
1963,-63.88073
1964,-77.947395
1965,-66.18073
1966,-64.28073
1967,-72.91406
1968,-63.48073
1969,-59.71406
1970,-61.51406
1971,-57.48073
1972,-56.51406
1973,-54.68073
1974,-40.18073
1975,-43.947395
1976,-46.68073
1977,-44.247395
1978,-38.247395
1979,-49.614063
1980,-37.68073
1981,-31.080729
1982,-30.214062
1983,-23.547396
1984,-30.48073
1985,-31.680729
1986,-33.814064
1987,-33.847397
1988,-31.414062
1989,-31.847395
1990,-25.247396
1991,-20.347395
1992,-16.38073
1993,-19.580729
1994,-22.347395
1995,-16.347395
1996,-7.247396
1997,-6.480729
1998,-1.8473958
1999,-8.480729
2000,-8.347396
2001,-0.8140625
2002,-2.780729
2003,4.3859377
2004,8.2526045
2005,10.619271
2006,6.652604
2007,4.3859377
2008,17.552605
2009,19.319271
2010,20.19593804
2011,23.02593814
2012,25.85593824
2013,25.95593824
2014,25.99559382
2015,26.034894
2016,26.348494
2017,26.34564567
2018,26.7869
2019,26.848488
2020,26.848399
2021,26.939392
2022,26.99394
2023,27.3459